678,557
347,367
713,187
501,203
195,514
406,470
5,439
52,10
648,81
610,300
184,326
360,21
428,103
197,509
284,267
41,265
766,507
503,97
408,579
24,479
62,85
277,213
266,347
9,48
99,263
175,168
583,317
771,472
694,497
237,590
20,316
197,498
163,252
689,435
450,203
54,551
463,435
226,2
414,494
393,186
559,195
292,461
480,65
210,129
95,552
247,319
84,160
176,450
341,348
24,59
654,250
228,355
351,79
628,18
295,94
630,293
365,358
786,370
286,534
159,140
682,451
344,557
32,569
18,81
489,254
70,407
519,97
263,554
744,551
287,358
435,529
510,131
708,359
440,330
244,276
751,333
66,312
625,382
727,244
189,324
3,314
541,81
275,76
493,263
433,244
767,539
506,22
252,490
56,423
723,55
689,213
497,16
352,431
35,448
38,386
330,585
736,163
341,32
152,446
95,281
